chain,symbol,total_incentives_diff,bal_incentives_diff,earned_fees_diff,aura_incentives_diff,redirected_incentives_diff,fees_to_vebal_diff
mainnet,weETH/rETH,7.26510000000053 (0.08%),1.4916000000000622 (0.09%),-0.003700000001117587 (-0.0%),5.773600000000442 (0.08%),0.11350000000000193 (0.17%),4.648600000000442 (0.08%)
mainnet,STG/USDC,-34.163800000000265 (-0.4%),-11.801799999999957 (-0.78%),-37.90819999999985 (-0.48%),-22.362099999999373 (-0.32%),-0.19940000000000424 (-0.31%),-22.07679999999982 (-0.4%)
mainnet,50rETH-50RPL,-3.1734999999998763 (-0.04%),-1.8583000000000993 (-0.13%),-9.097899999999754 (-0.12%),-1.315099999999802 (-0.02%),0.030400000000000205 (0.05%),-2.082499999999527 (-0.04%)
mainnet,sUSDe/USDC,5.7161000000005515 (0.08%),0.9932999999999765 (0.1%),-0.002200000000811997 (-0.0%),4.722700000000259 (0.08%),0.08930000000000149 (0.17%),3.6574000000000524 (0.08%)
mainnet,weETH/ezETH/rswETH,5.507299999999304 (0.08%),0.9260000000000446 (0.1%),-0.00020000000040454324 (-0.0%),4.581199999999626 (0.08%),0.08590000000000231 (0.17%),3.5239000000001397 (0.08%)
mainnet,wstETH-rETH-sfrxETH-BPT,3.4383000000007087 (0.08%),0.26069999999999993 (0.21%),-0.0027000000000043656 (-0.0%),3.177400000000034 (0.08%),0.05369999999999919 (0.17%),2.199899999999616 (0.08%)
mainnet,pufETH/wstETH,-2.1523999999999432 (-0.09%),0.0 (0.0%),-3.755200000000059 (-0.17%),-2.152599999999893 (-0.09%),-0.00039999999999906777 (-0.0%),-1.3987999999999374 (-0.09%)
mainnet,80RDNT-20wETH,-6.5578999999997905 (-0.28%),0.0 (0.0%),-7.810100000000148 (-0.36%),-6.5578999999997905 (-0.28%),-0.03369999999999962 (-0.19%),-4.240699999999833 (-0.28%)
mainnet,20WETH-80ALCX,-0.3464000000001306 (-0.02%),0.0 (0.0%),-1.738299999999981 (-0.1%),-0.3466000000000804 (-0.02%),0.009999999999999787 (0.07%),-0.2317000000000462 (-0.02%)
mainnet,trenSTETH,1.2133000000001175 (0.08%),0.0 (0.0%),0.0037999999999556167 (0.0%),1.2134000000000924 (0.08%),0.018800000000000594 (0.17%),0.7764000000000806 (0.08%)
mainnet,ETHx/wstETH,1.1948999999999614 (0.08%),0.0 (0.0%),9.999999997489795e-05 (0.0%),1.1948999999999614 (0.08%),0.018499999999999517 (0.17%),0.7647000000000617 (0.08%)
mainnet,50wstETH-50LDO,-3.0920999999999594 (-0.47%),-3.091799999999921 (-0.47%),-3.3455999999999904 (-0.55%),0.0 (0.0%),-0.018899999999999473 (-0.38%),-1.997600000000034 (-0.47%)
mainnet,ankrETH/wstETH,0.4957999999999174 (0.08%),0.4955999999999676 (0.08%),-0.0030000000000427463 (-0.0%),0.0 (0.0%),0.007800000000000473 (0.17%),0.3172000000000139 (0.08%)
mainnet,rsETH / ETHx,0.0 (0.0%),0.0 (0.0%),-0.004000000000019099 (-0.0%),0.0 (0.0%),-0.27319999999997435 (0.08%),0.177599999999984 (0.08%)
mainnet,ECLP-wstETH-wETH,0.0 (0.0%),0.0 (0.0%),0.07720000000000482 (0.03%),0.0 (0.0%),-0.3150999999999726 (0.11%),0.20479999999997744 (0.11%)
mainnet,tETH/wstETH,0.0 (0.0%),0.0 (0.0%),-0.0004999999999881766 (-0.0%),0.0 (0.0%),-0.14039999999999964 (0.08%),0.09120000000000061 (0.08%)
mainnet,ECLP-GYD-sDAI,0.0 (0.0%),0.0 (0.0%),0.009000000000000341 (0.01%),0.0 (0.0%),-0.10690000000001021 (0.09%),0.069500000000005 (0.09%)
mainnet,swETH-WETH-BPT,0.0 (0.0%),0.0 (0.0%),0.0037999999999982492 (0.0%),0.0 (0.0%),-0.07260000000000844 (0.09%),0.047100000000000364 (0.09%)
mainnet,ECLP-sUSDe-GYD,0.0 (0.0%),0.0 (0.0%),-0.0018000000000029104 (-0.0%),0.0 (0.0%),-0.03999999999999915 (0.08%),0.026000000000003354 (0.08%)
mainnet,B-baoETH-rETH-BPT,0.0 (0.0%),0.0 (0.0%),-0.0015000000000000568 (-0.0%),0.0 (0.0%),-0.03370000000000317 (0.08%),0.0218999999999987 (0.08%)
mainnet,B-baoETH-wstETH-BPT,0.0 (0.0%),0.0 (0.0%),0.0012999999999934175 (0.0%),0.0 (0.0%),-0.036000000000001364 (0.08%),0.023399999999998755 (0.08%)
mainnet,ECLP-cbETH-wstETH,0.0 (0.0%),0.0 (0.0%),-0.0029000000000003467 (-0.01%),0.0 (0.0%),-0.015499999999999403 (0.07%),0.009999999999999787 (0.07%)
mainnet,qETH/WETH,0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%)
mainnet,sDAI/3Pool,0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%)
mainnet,cdcETH/wstETH,0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%)
mainnet,uniETH-WETH,0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%)
gnosis,bb-WETH-wstETH,0.0 (0.0%),0.0136000000002241 (0.0%),-0.0005000000001018634 (-0.0%),-0.0136000000002241 (-0.0%),0.0 (0.0%),0.0 (0.0%)
base,ECLP-WETH-USDC,-51.790899999999965 (-0.85%),-16.614199999999983 (-0.85%),-184.10290000000077 (-2.78%),-35.17669999999998 (-0.85%),2.334000000000003 (1.03%),-35.18119999999999 (-0.93%)
base,rETH-WETH-BPT,51.790899999999965 (1.98%),16.61940000000004 (1.98%),0.003899999999703141 (0.0%),35.17150000000015 (1.98%),3.831299999999999 (3.91%),31.173700000000053 (1.9%)
base,weETH/wETH,0.0 (0.0%),0.0 (0.0%),-0.0004999999999881766 (-0.0%),0.0 (0.0%),-5.592499999999973 (1.9%),3.6350999999999942 (1.9%)
base,ECLP-cbETH-wstETH,0.0 (0.0%),0.0 (0.0%),-0.009299999999999642 (-0.04%),0.0 (0.0%),-0.3613999999999997 (1.86%),0.23489999999999966 (1.86%)
base,USDC/USDbC/axlUSDC,0.0 (0.0%),0.0 (0.0%),-0.0009999999999994458 (-0.01%),0.0 (0.0%),-0.21140000000000114 (1.89%),0.13739999999999952 (1.89%)
avalanche,sAVAX-WAVAX-BPT,-0.0039999999999054126 (-0.0%),-0.0009999999999763531 (-0.0%),0.004500000000007276 (0.0%),-0.003000000000156433 (-0.0%),0.0 (0.0%),-0.002599999999802094 (-0.0%)
avalanche,ggAVAX-WAVAX-BPT,0.004000000000019099 (0.0%),0.004000000000019099 (0.0%),0.00380000000001246 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0026000000000294676 (0.0%)
arbitrum,RDNT-WETH,649.8736000000008 (4.81%),131.14220000000023 (3.26%),-425.1840000000011 (-2.23%),518.7310999999991 (5.47%),127.38739999999984 (11.7%),339.6160000000009 (4.21%)
arbitrum,ECLP-weETH-wstETH,186.42099999999982 (7.2%),-17.569599999999923 (-3.37%),0.17309999999997672 (0.0%),203.9906000000001 (9.87%),29.72 (14.25%),101.85569999999984 (6.58%)
arbitrum,ezETH/wstETH,157.48500000000013 (7.2%),-26.85419999999999 (-6.83%),-0.0041999999998552084 (-0.0%),184.3393000000001 (10.27%),25.115200000000016 (14.25%),86.04040000000009 (6.58%)
arbitrum,rETH/wETH BPT,112.92790000000014 (7.2%),-41.1515 (-21.13%),0.004500000000007276 (0.0%),154.07960000000003 (11.21%),18.009 (14.25%),61.69730000000004 (6.58%)
arbitrum,wstETH-WETH-BPT,-257.5921999999998 (-17.24%),-170.7626 (-100.0%),-481.29290000000015 (-22.79%),-86.82960000000003 (-6.56%),-14.197699999999998 (-11.79%),-158.2064999999999 (-17.71%)
arbitrum,wstETH/sfrxETH,-27.739599999999882 (-2.4%),0.0 (0.0%),-146.01099999999997 (-8.96%),-27.739799999999832 (-2.4%),3.7317000000000036 (4.01%),-20.456299999999942 (-2.97%)
arbitrum,wUSDL/GHO,-104.1925 (-9.92%),946.2694 (inf%),-236.98199999999997 (-15.97%),-1050.4617 (-100.0%),-3.379800000000003 (-3.99%),-65.52820000000008 (-10.44%)
arbitrum,sFRAX/4POOL,10.058700000000044 (1.14%),10.058700000000044 (1.14%),-70.47679999999991 (-5.65%),0.0 (0.0%),5.540399999999991 (7.79%),2.9368999999999232 (0.56%)
arbitrum,ECLP-wstETH-WETH,6.6095000000000255 (0.79%),6.6096 (0.79%),-70.29160000000002 (-5.97%),0.0 (0.0%),4.980000000000004 (7.42%),1.0591000000000008 (0.21%)
arbitrum,cbETH/rETH/wstETH,-50.226800000000026 (-6.41%),-50.226800000000026 (-6.41%),-140.4829000000001 (-12.7%),0.0 (0.0%),-0.16329999999999956 (-0.26%),-32.54119999999995 (-6.95%)
arbitrum,rsETH/wETH,-683.6246 (-100.0%),-683.6243 (-100.0%),-278.07820000000004 (-28.79%),0.0 (0.0%),-532.1211 (-966.26%),-98.47729999999996 (-24.1%)
arbitrum,weETH/wETH,0.0 (0.0%),0.0 (0.0%),-12.488100000000031 (-1.82%),0.0 (0.0%),-20.786099999999976 (4.64%),13.510899999999992 (4.64%)
arbitrum,ankrETH/wstETH-BPT,0.0 (0.0%),0.0 (0.0%),-145.58529999999996 (-21.56%),0.0 (0.0%),72.05519999999996 (-16.4%),-46.83590000000001 (-16.4%)
arbitrum,ETHx/wstETH,0.0 (0.0%),0.0 (0.0%),-110.44079999999997 (-20.85%),0.0 (0.0%),53.91409999999996 (-15.64%),-35.04419999999999 (-15.64%)
arbitrum,4POOL,0.0 (0.0%),0.0 (0.0%),-53.098599999999976 (-12.66%),0.0 (0.0%),18.87360000000001 (-6.92%),-12.267900000000026 (-6.92%)
arbitrum,ECLP-WOETH-WETH,0.0 (0.0%),0.0 (0.0%),-211.6089 (-57.78%),0.0 (0.0%),131.07800000000003 (-55.0%),-85.2007 (-55.0%)
arbitrum,ECLP-AUSDC-AUSDT,0.0 (0.0%),0.0 (0.0%),-25.53880000000001 (-16.52%),0.0 (0.0%),11.092700000000008 (-11.03%),-7.210300000000004 (-11.03%)
arbitrum,ECLP-GHO-USDe-rh,0.0 (0.0%),0.0 (0.0%),-6.368399999999994 (-4.93%),0.0 (0.0%),-1.1099999999999994 (1.32%),0.721500000000006 (1.32%)
arbitrum,ECLP-GYD-AUSDC,0.0 (0.0%),0.0 (0.0%),-56.3553 (-45.92%),0.0 (0.0%),33.8303 (-42.36%),-21.989800000000002 (-42.36%)
arbitrum,ECLP-GHO-AUSDC,0.0 (0.0%),0.0 (0.0%),-11.566499999999998 (-17.43%),0.0 (0.0%),5.180800000000005 (-12.0%),-3.3675999999999995 (-12.0%)
arbitrum,ECLP-GYD-AUSDT,0.0 (0.0%),0.0 (0.0%),-12.428000000000004 (-22.67%),0.0 (0.0%),6.272699999999997 (-17.59%),-4.077300000000001 (-17.59%)
arbitrum,ECLP-rETH-wstETH,0.0 (0.0%),0.0 (0.0%),-15.1033 (-35.6%),0.0 (0.0%),8.6582 (-31.36%),-5.627800000000001 (-31.36%)
arbitrum,ECLP-sUSDe-GYD,0.0 (0.0%),0.0 (0.0%),-4.6778999999999975 (-17.12%),0.0 (0.0%),2.074299999999999 (-11.66%),-1.3483 (-11.66%)
arbitrum,2CLP-AUSDC-USDC,0.0 (0.0%),0.0 (0.0%),-10.997300000000001 (-48.53%),0.0 (0.0%),6.6569 (-45.15%),-4.3269 (-45.15%)
arbitrum,sUSX/USDC,0.0 (0.0%),0.0 (0.0%),-11.66 (-100.0%),0.0 (0.0%),7.5874 (-100.0%),-4.9318 (-100.0%)
